City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
99,Fortuna,US,74.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
103,Georgiyevka,KZ,73.44,clear sky,43.0369,74.7114,Gostinitsa Imperiya
107,Rahimatpur,IN,71.08,overcast clouds,17.6,74.2,Swami Prasad Ice-cream parlor
108,Norman Wells,CA,77.04,few clouds,65.282,-126.8329,Heritage Hotel
110,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
112,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
113,Nara,JP,84.9,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
115,Hithadhoo,MV,81.97,clear sky,-0.6,73.0833,Scoop Guest House
116,Hasaki,JP,79.29,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
118,Bonthe,SL,75.25,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
120,Isla Mujeres,MX,87.85,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
121,Faanui,PF,76.55,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
124,Houma,US,86.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
129,Zhanakorgan,KZ,86.04,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
130,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
132,Vila Velha,BR,71.94,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
138,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
140,Saint George,US,79.39,thunderstorm,37.1041,-113.5841,Best Western Plus Abbey Inn
144,Kandrian,PG,79.79,light rain,-6.2167,149.55,Kandrian Station
145,Seoul,KR,76.6,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
150,Torbay,CA,74.39,broken clouds,47.6666,-52.7314,Gallows Cove
151,Gwadar,PK,81.5,light rain,25.1216,62.3254,Sadaf Resort
152,Behshahr,IR,74.95,overcast clouds,36.6923,53.5526,Abbas Abad Hotel & Restaurant
155,Beipiao,CN,70.84,overcast clouds,41.7919,120.7792,Beipiao Hotel
156,Dakar,SN,82.53,scattered clouds,14.6937,-17.4441,Novotel Dakar
157,Hamilton,US,81.09,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
158,Borujerd,IR,72.07,clear sky,33.8973,48.7516,Zagros Hotel
160,Sabang,ID,80.31,overcast clouds,5.8933,95.3214,Hotel Citra
