City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
127,Sept-Iles,CA,2022-07-25 22:27:39,50.2001,-66.3821,63.12,95,100,8.99,thunderstorm with heavy rain
128,Saldanha,ZA,2022-07-25 22:26:18,-33.0117,17.9442,53.65,57,1,9.62,clear sky
129,Zhanakorgan,KZ,2022-07-25 22:27:39,43.9098,67.2495,86.04,19,1,6.78,clear sky
130,Arraial Do Cabo,BR,2022-07-25 22:25:01,-22.9661,-42.0278,71.56,83,0,13.8,clear sky
131,Shahr-E Kord,IR,2022-07-25 22:27:40,32.3256,50.8644,55.17,24,0,6.91,clear sky
132,Vila Velha,BR,2022-07-25 22:26:48,-20.3297,-40.2925,71.94,85,0,4.61,clear sky
133,Nikolskoye,RU,2022-07-25 22:26:45,59.7035,30.7861,63.81,93,80,3.65,broken clouds
134,Cherskiy,RU,2022-07-25 22:23:43,68.75,161.3,52.43,45,87,8.37,overcast clouds
135,Codrington,AU,2022-07-25 22:27:41,-38.2667,141.9667,49.37,65,98,19.62,overcast clouds
136,Bredasdorp,ZA,2022-07-25 22:25:57,-34.5322,20.0403,47.43,76,0,4.12,clear sky
137,Tuatapere,NZ,2022-07-25 22:27:41,-46.1333,167.6833,45.16,94,100,13.42,moderate rain
138,Los Llanos De Aridane,ES,2022-07-25 22:27:42,28.6585,-17.9182,71.35,83,0,16.11,clear sky
139,Plettenberg Bay,ZA,2022-07-25 22:27:42,-34.0527,23.3716,55.17,61,0,6.02,clear sky
140,Saint George,US,2022-07-25 22:27:25,37.1041,-113.5841,79.39,50,100,21.85,thunderstorm
141,Pevek,RU,2022-07-25 22:26:08,69.7008,170.3133,37.09,79,93,8.43,overcast clouds
142,Parabel,RU,2022-07-25 22:27:43,58.6978,81.4825,55.15,89,100,5.55,overcast clouds
143,Beringovskiy,RU,2022-07-25 22:27:43,63.05,179.3167,45.25,76,100,1.95,overcast clouds
144,Kandrian,PG,2022-07-25 22:27:43,-6.2167,149.55,79.79,86,82,7.36,light rain
145,Seoul,KR,2022-07-25 22:25:29,37.5683,126.9778,76.6,88,0,2.3,clear sky
146,Bambous Virieux,MU,2022-07-25 22:27:44,-20.3428,57.7575,68.25,88,40,9.22,light rain
147,Cidreira,BR,2022-07-25 22:25:37,-30.1811,-50.2056,61.41,95,22,4.76,few clouds
148,Provideniya,RU,2022-07-25 22:27:44,64.3833,-173.3,50.11,66,75,17.9,broken clouds
149,Dunedin,NZ,2022-07-25 22:27:45,-45.8742,170.5036,45.84,93,100,20.0,overcast clouds
150,Torbay,CA,2022-07-25 22:26:39,47.6666,-52.7314,74.39,83,75,17.27,broken clouds
151,Gwadar,PK,2022-07-25 22:27:45,25.1216,62.3254,81.5,85,100,3.58,light rain
152,Behshahr,IR,2022-07-25 22:27:46,36.6923,53.5526,74.95,89,94,4.52,overcast clouds
153,Saskylakh,RU,2022-07-25 22:25:52,71.9167,114.0833,68.41,70,87,6.35,overcast clouds
154,Klaksvik,FO,2022-07-25 22:27:46,62.2266,-6.589,49.12,85,38,13.02,scattered clouds
155,Beipiao,CN,2022-07-25 22:27:47,41.7919,120.7792,70.84,84,100,4.03,overcast clouds
156,Dakar,SN,2022-07-25 22:24:13,14.6937,-17.4441,82.53,83,40,4.61,scattered clouds
157,Hamilton,US,2022-07-25 22:25:18,39.1834,-84.5333,81.09,68,0,6.91,clear sky
158,Borujerd,IR,2022-07-25 22:27:47,33.8973,48.7516,72.07,29,0,4.81,clear sky
159,Nanortalik,GL,2022-07-25 22:25:17,60.1432,-45.2371,42.03,97,100,5.46,light rain
160,Sabang,ID,2022-07-25 22:27:48,5.8933,95.3214,80.31,77,100,9.84,overcast clouds
161,Songjianghe,CN,2022-07-25 22:27:48,42.1859,127.479,65.57,97,63,3.85,broken clouds
162,Morant Bay,JM,2022-07-25 22:27:49,17.8815,-76.4093,87.42,76,26,13.04,scattered clouds
163,Labuan,MY,2022-07-25 22:27:49,5.2767,115.2417,77.36,94,20,2.3,few clouds
164,Grand Gaube,MU,2022-07-25 22:27:49,-20.0064,57.6608,68.4,79,6,1.99,clear sky
165,Victoria,HK,2022-07-25 22:24:45,22.2855,114.1577,87.19,80,91,8.01,overcast clouds
166,Mar Del Plata,AR,2022-07-25 22:26:07,-38.0023,-57.5575,54.09,95,100,15.01,light rain
167,Yeppoon,AU,2022-07-25 22:27:50,-23.1333,150.7333,55.18,86,0,2.33,clear sky
168,Lompoc,US,2022-07-25 22:26:50,34.6391,-120.4579,87.78,70,0,13.8,clear sky
169,Hirara,JP,2022-07-25 22:27:50,24.8,125.2833,84.06,89,20,0.0,few clouds
170,Newport,GB,2022-07-25 22:27:51,51.5877,-2.9984,62.02,77,15,8.99,few clouds
171,Makasar,ID,2022-07-25 22:27:51,-5.14,119.4221,69.85,100,20,0.0,few clouds
172,Morgan City,US,2022-07-25 22:27:52,29.6994,-91.2068,85.01,62,97,9.19,overcast clouds
173,Fukue,JP,2022-07-25 22:27:52,32.6881,128.8419,77.41,78,11,5.61,few clouds
174,Te Anau,NZ,2022-07-25 22:27:52,-45.4167,167.7167,39.4,98,100,2.51,overcast clouds
175,Salalah,OM,2022-07-25 22:27:53,17.0151,54.0924,75.29,100,100,5.75,drizzle
176,Pacific Grove,US,2022-07-25 22:27:53,36.6177,-121.9166,74.21,77,20,11.5,few clouds
177,Denpasar,ID,2022-07-25 22:23:50,-8.65,115.2167,74.86,83,40,3.44,scattered clouds
178,Marapanim,BR,2022-07-25 22:27:54,-0.7175,-47.6997,76.37,89,100,4.99,overcast clouds
179,Tomatlan,MX,2022-07-25 22:27:54,19.9333,-105.25,83.26,84,100,6.4,overcast clouds
180,Ikom,NG,2022-07-25 22:27:55,5.9667,8.7063,72.73,98,100,2.66,overcast clouds
181,Waingapu,ID,2022-07-25 22:27:55,-9.6567,120.2641,70.93,82,95,6.2,overcast clouds
182,Havoysund,NO,2022-07-25 22:27:55,70.9963,24.6622,53.83,93,100,12.77,light rain
183,Constantine,DZ,2022-07-25 22:27:56,36.365,6.6147,85.41,23,0,2.3,clear sky
184,Olga,RU,2022-07-25 22:27:56,43.7444,135.2892,69.26,86,3,3.0,clear sky
185,Port Elizabeth,ZA,2022-07-25 22:26:33,-33.918,25.5701,57.49,76,0,17.27,clear sky
186,Adrar,MR,2022-07-25 22:27:57,20.5022,-10.0711,95.63,24,68,6.82,broken clouds
187,Tessalit,ML,2022-07-25 22:27:57,20.1986,1.0114,96.15,8,3,11.68,clear sky
188,Antofagasta,CL,2022-07-25 22:23:28,-23.65,-70.4,56.48,80,14,6.35,few clouds
189,Tuktoyaktuk,CA,2022-07-25 22:27:58,69.4541,-133.0374,59.0,77,40,16.11,scattered clouds
190,Kutum,SD,2022-07-25 22:27:58,14.2,24.6667,83.19,41,71,10.38,broken clouds
191,Douentza,ML,2022-07-25 22:27:58,14.9951,-2.9517,91.94,38,63,4.94,broken clouds
192,Udachnyy,RU,2022-07-25 22:24:17,66.4167,112.4,68.45,88,43,3.15,scattered clouds
193,Araouane,ML,2022-07-25 22:27:59,18.9048,-3.5265,100.67,21,13,5.26,few clouds
194,Tomakomai,JP,2022-07-25 22:27:59,42.6369,141.6033,75.16,88,75,2.3,broken clouds
195,Tartus,SY,2022-07-25 22:28:00,34.889,35.8866,79.48,59,0,2.91,clear sky
196,Coquimbo,CL,2022-07-25 22:23:17,-29.9533,-71.3436,55.13,82,20,8.05,few clouds
197,Esso,RU,2022-07-25 22:28:00,55.9333,158.7,54.79,94,100,1.43,light rain
198,Dukat,RU,2022-07-25 22:28:01,62.55,155.55,64.22,41,21,9.86,few clouds
199,Nikel,RU,2022-07-25 22:28:01,69.4128,30.222,59.18,75,100,6.55,overcast clouds
200,Lasa,IT,2022-07-25 22:23:53,46.6166,10.7002,67.08,92,79,5.01,light rain
201,Taoudenni,ML,2022-07-25 22:28:02,22.6783,-3.9836,102.61,10,2,13.82,clear sky
202,Harper,LR,2022-07-25 22:28:02,4.375,-7.7169,73.58,78,27,7.23,scattered clouds
203,Ati,TD,2022-07-25 22:28:02,13.2154,18.3353,88.88,49,93,11.79,overcast clouds
204,Rexburg,US,2022-07-25 22:28:03,43.826,-111.7897,87.31,17,0,8.59,clear sky
205,Nalut,LY,2022-07-25 22:28:03,30.3333,10.85,84.78,16,0,8.86,clear sky
206,Guerrero Negro,MX,2022-07-25 22:25:32,27.9769,-114.0611,80.08,54,0,15.32,clear sky
207,Namatanai,PG,2022-07-25 22:23:41,-3.6667,152.4333,80.44,81,29,9.13,light rain
208,Cascais,PT,2022-07-25 22:28:04,38.6979,-9.4215,71.47,69,0,23.0,clear sky
209,Mwinilunga,ZM,2022-07-25 22:28:04,-11.7358,24.4293,58.03,41,0,4.7,clear sky
210,Pochutla,MX,2022-07-25 22:28:05,15.7432,-96.4661,87.82,72,89,4.18,overcast clouds
211,Boa Vista,BR,2022-07-25 22:28:05,2.8197,-60.6733,78.78,78,40,4.61,light rain
212,Takoradi,GH,2022-07-25 22:28:05,4.8845,-1.7554,74.19,88,70,9.62,broken clouds
213,The Valley,AI,2022-07-25 22:28:06,18.217,-63.0578,84.34,79,20,16.11,few clouds
214,Deputatskiy,RU,2022-07-25 22:28:06,69.3,139.9,58.1,55,100,3.98,overcast clouds
215,Dikson,RU,2022-07-25 22:28:06,73.5069,80.5464,43.48,97,99,22.08,light rain
216,Qaqortoq,GL,2022-07-25 22:28:07,60.7167,-46.0333,43.9,94,100,3.4,overcast clouds
217,Trinidad,BO,2022-07-25 22:26:33,-14.8333,-64.9,84.18,70,40,4.61,scattered clouds
218,Broken Hill,AU,2022-07-25 22:24:20,-31.95,141.4333,42.58,79,0,12.77,clear sky
219,Chuy,UY,2022-07-25 22:25:55,-33.6971,-53.4616,58.08,97,100,8.99,moderate rain
220,Lagoa,PT,2022-07-25 22:26:39,39.05,-27.9833,74.28,89,0,8.84,clear sky
221,Port Blair,IN,2022-07-25 22:28:08,11.6667,92.75,78.84,89,40,1.14,mist
222,Naze,JP,2022-07-25 22:28:08,28.3667,129.4833,79.72,79,6,2.71,clear sky
223,Kavieng,PG,2022-07-25 22:24:14,-2.5744,150.7967,82.15,79,20,16.4,light rain
224,Lamu,KE,2022-07-25 22:28:09,-2.2717,40.902,73.62,78,42,17.98,scattered clouds
225,Da Lat,VN,2022-07-25 22:28:09,11.9465,108.4419,58.6,96,42,1.43,scattered clouds
226,Ekuvukeni,ZA,2022-07-25 22:28:10,-28.4675,30.1551,42.76,44,0,1.72,clear sky
227,Maneadero,MX,2022-07-25 22:24:21,31.7167,-116.5667,75.96,62,32,9.48,scattered clouds
228,Stendal,DE,2022-07-25 22:28:10,52.6,11.85,67.06,90,89,4.12,overcast clouds
229,Mount Gambier,AU,2022-07-25 22:28:10,-37.8333,140.7667,49.75,60,90,14.58,overcast clouds
230,Warman,CA,2022-07-25 22:28:11,52.3168,-106.5679,68.09,63,100,12.66,light rain
231,Pisco,PE,2022-07-25 22:24:47,-13.7,-76.2167,60.85,88,40,6.91,scattered clouds
232,Ekibastuz,KZ,2022-07-25 22:25:55,51.6667,75.3667,69.93,44,8,5.39,clear sky
233,Topeka,US,2022-07-25 22:27:35,39.0483,-95.678,74.98,88,100,8.05,overcast clouds
234,Vardo,NO,2022-07-25 22:26:36,70.3705,31.1107,53.58,87,100,8.05,overcast clouds
235,Hobyo,SO,2022-07-25 22:28:12,5.3505,48.5268,75.58,82,4,25.55,clear sky
